,movieId,rating,userId
23978,3324,3.0,19160126
37573,507,5.0,11687421
10661,1625,4.0,19364037
1726,4529,4.5,9232954
5206,4372,5.0,4366063
59691,1688,4.5,5551478
29594,2946,5.0,11669059
79825,5952,4.5,4990535
35904,1188,5.0,11741555
13181,1240,3.5,15591990
34588,46970,3.0,10633567
39032,50740,4.5,2580630
23014,5497,3.5,15465789
32878,2124,4.0,16004174
24491,1222,4.5,5806988
14210,1734,4.5,7425713
82989,260,5.0,12146826
44496,2542,4.0,15412351
16661,55118,3.5,2187862
3259,7090,4.0,10632585
51062,161,3.0,14583879
5683,48774,3.5,10044853
66029,34542,4.5,9707845
15862,141,4.0,6381361
35651,2420,3.5,4839257
59458,376,4.0,19461841
377,3535,3.5,795555
78396,3190,3.0,6101166
68506,1275,3.5,3755345
54787,5449,3.5,62474
36563,1641,4.5,4383871
63583,68157,4.0,8411554
13630,901,4.0,482782
52786,1997,4.0,11060430
43707,1147,4.0,3950042
58851,4679,4.0,15712423
33688,5349,4.0,9151385
68176,3729,4.0,15737606
4538,296,5.0,7876706
67683,5225,3.5,3072685
7713,1077,3.5,19747108
59700,1300,3.0,8570600
68009,1228,4.0,7465076
33502,380,3.0,16585297
42502,6333,3.5,8247934
10220,4370,4.0,10846480
5885,3100,4.5,2294381
17945,3703,4.0,18424169
83752,3847,4.0,14055871
72599,2028,5.0,53472
77673,6957,4.0,13498233
25092,1213,5.0,17127611
60327,2325,4.0,9301787
41756,37733,3.5,4157936
48346,4889,3.0,26057
7838,505,3.0,13933403
8347,2710,4.0,3162111
15088,1580,3.5,7088509
5714,594,3.0,7982868
22946,2076,4.0,1802684
72373,2020,4.0,16081152
8043,1270,4.0,13811897
21511,3361,3.5,10672664
72127,8366,4.0,3416498
21694,377,3.0,1043957
71738,1356,5.0,4046077
10323,507,4.5,6359981
63789,72733,4.5,2479451
45976,3399,3.5,19896653
67305,2529,4.5,5414702
7404,1339,4.0,8515751
79795,31,3.0,8486800
17487,8360,4.5,8410375
84544,5900,3.5,11174577
6148,2560,4.0,4931953
55973,163,4.0,16587458
62550,780,3.0,9155118
74246,7163,5.0,14244745
67172,86833,4.0,6731300
79140,27397,4.0,2395847
29236,5459,3.5,17668746
31529,4356,3.0,18053852
21412,76093,4.0,14647407
62533,592,3.5,15457074
7028,1379,4.0,12701749
11356,236,4.0,12757152
14277,58351,3.5,12141824
152,5418,5.0,3477669
71346,4800,3.0,444205
71056,1690,3.0,3482313
61,919,5.0,3640931
4535,1409,3.0,9855692
15437,1300,3.0,8821843
29048,1270,4.0,16978066
2684,1687,3.5,4607126
61513,111,5.0,19796813
25180,6377,3.5,18463819
71130,3508,4.5,19299062
53478,1125,5.0,8577280
69504,47,4.0,3153396
46031,3489,3.0,13995752
19981,1028,3.5,7840199
79221,33004,3.5,7168309
18620,2959,5.0,7074630
15795,85401,3.5,7163790
6819,2447,4.0,5775196
18648,3176,3.5,7406923
64013,1035,4.0,11897351
46693,2124,4.0,3357790
54242,1225,5.0,9794324
15057,1206,4.5,9558567
10560,1719,3.0,15648305
6387,2730,4.0,7939771
50941,1866,4.0,11992511
60387,5445,3.0,4668977
73688,3105,4.5,19356375
68219,1231,5.0,4388496
29417,350,4.0,276031
446,4690,3.5,16716858
47574,89030,3.5,17071583
62203,40412,4.5,15817497
29338,529,4.0,16269668
23113,3435,5.0,6265769
48026,6870,3.5,961210
35109,4022,4.0,19200900
15851,6870,5.0,16322392
44732,1061,3.0,12928414
11939,377,4.0,14794005
29120,3751,4.0,15373612
23571,3201,3.0,5990360
8036,144,3.0,15917694
85067,593,4.0,17476729
41621,1652,3.0,5215648
49563,5507,3.5,3147698
86992,5010,3.5,6861234
25900,1208,3.5,1733297
10430,2390,5.0,1947675
70045,1204,4.5,9731259
1269,7153,5.0,8588050
35533,4641,4.0,11832608
28224,1127,3.0,8500588
55080,3030,4.5,16830681
42216,1580,3.5,12851989
34404,7926,4.0,10933443
48236,318,5.0,2769700
80831,3398,3.0,16721769
84143,4720,4.5,5202288
79474,2987,4.5,5607077
11876,2533,3.0,11631231
50344,2542,5.0,4979336
85356,1298,5.0,12502533
51513,1969,3.5,5118202
24232,6989,3.0,1547245
76956,1257,4.0,8534450
26791,5377,4.0,15780632
71177,1962,4.0,1504934
20496,2762,4.0,17826310
64067,2862,4.0,14111506
23866,3798,4.0,18225830
69023,3706,4.0,11737822
8837,52,4.0,19612368
76900,33834,3.0,6357392
8207,141,4.0,11598815
35444,4878,4.5,12743792
34656,364,4.0,18108182
38047,35836,3.0,15436677
33446,3682,4.0,17775194
10165,2015,4.0,18336993
80265,5066,4.0,7305048
57372,3633,4.0,227272
579,7,4.0,9151975
16505,541,4.5,8474655
6448,50872,4.0,12862527
2024,72641,5.0,131594
31354,40629,5.0,2904832
15793,365,3.5,1329849
13064,1250,3.5,3532251
22882,55820,4.5,4720718
16659,2085,5.0,14023615
28556,3868,3.5,917827
35570,51662,4.5,614485
1517,1131,4.0,10158676
4413,2413,3.0,3155003
16664,4409,3.0,8850723
20348,631,3.5,13857673
49811,596,3.0,10377055
12015,1307,5.0,19317565
8648,1780,5.0,3479795
53310,2706,4.0,12959849
75759,529,4.5,8367117
2224,7347,3.0,3599245
15900,6603,5.0,14276304
84385,34048,3.0,15809477
57319,1580,5.0,18041742
54465,2355,4.0,7520283
65140,5995,3.5,4367046
19788,708,3.0,17315199
44908,1653,3.0,11535321
67402,22,3.0,1369016
24366,2471,4.0,14414954
67109,2692,4.0,12493264
63839,1307,3.0,10897722
74898,56169,3.0,3008566
84371,2762,4.0,1501468
80661,47,3.0,8920700
39748,6852,3.5,3149734
42831,628,3.5,8245702
539,1499,3.0,4290908
63141,47099,3.5,1751568
60253,1269,4.5,8627343
47474,6156,4.0,7544967
3879,2866,5.0,5493878
53204,42728,4.5,13961371
74580,1888,3.5,6703598
80945,68237,4.0,8452061
52422,36,4.0,7943075
60923,1203,4.0,3669419
25363,527,4.0,14532601
29919,81932,3.5,1793844
51370,422,4.0,10855321
46112,1617,4.0,10232744
12746,648,3.5,4355812
37936,1084,4.0,14609454
80134,7132,5.0,1773018
69014,2311,4.0,17720058
70208,2096,3.5,123413
2138,368,4.0,14698256
32583,4963,4.0,2682792
41181,5318,4.0,8188102
56979,494,3.0,4997411
50560,2922,3.0,8253274
14604,1376,4.0,2865611
81943,1210,4.5,19497633
84141,5,4.0,8092424
64344,7153,5.0,4210821
28674,3114,3.5,9816042
67815,41716,4.5,14871573
65894,862,3.0,7561969
55670,6539,5.0,14197915
29514,3424,5.0,10852303
16520,31,3.5,16107031
65847,1597,3.0,6325887
417,92,3.0,2135496
2403,543,5.0,7395689
14694,4218,4.5,1588663
24814,2700,3.5,5456620
85203,3752,4.0,1898398
70543,318,3.0,10812028
21076,8360,3.5,13516862
37802,1210,3.5,18555301
35896,3044,4.0,12635772
37067,1689,4.0,19036031
55428,2966,4.5,17203643
19581,2126,3.5,9925865
302,1680,3.5,15398134
23482,56941,3.5,2582952
3754,62374,3.5,6911654
22758,1197,3.0,11977670
38797,1307,3.0,18738316
52454,5882,4.0,9872714
61707,1234,4.0,6228994
46534,2746,3.5,19217564
74710,4544,3.0,18470499
73523,6659,3.0,5432420
11838,3418,4.0,9784607
26446,5294,3.5,16256309
17987,1213,3.0,19279093
2577,1089,4.5,16362400
17820,3147,4.0,8966744
32707,21,4.0,5537332
35060,1233,4.0,2857162
17600,68237,4.5,7259700
15092,2006,5.0,8510411
1314,2686,4.0,1917652
45294,2681,4.0,1684216
8069,4965,4.0,2295096
75895,1288,4.5,12653917
52175,2700,3.0,11793315
61742,1101,3.0,13381729
31776,30707,4.0,7214906
65377,7147,5.0,11085810
16008,54190,4.5,16971190
8267,318,5.0,8925969
74038,2942,3.0,16023856
33125,1372,3.0,12916823
59401,2599,4.0,2655715
78235,5791,4.0,14698452
13055,56775,4.0,5160316
62648,2110,3.0,17825882
173,1590,4.0,16032857
12771,27850,4.0,4854314
41261,653,3.0,6656286
35859,5450,5.0,11700493
65390,590,3.5,16089867
64418,509,4.0,834793
78651,216,3.0,6902295
5035,2580,5.0,11190293
48980,234,3.0,340346
63678,68954,5.0,18607203
25420,5644,5.0,7021353
76120,527,3.0,5018791
9985,1298,5.0,17738687
44231,3565,3.0,13127201
35883,2104,3.0,17088872
57911,1682,3.5,9044866
39857,2912,3.0,17946975
84887,994,4.0,18075141
11182,4333,4.0,9171496
74597,2925,4.0,2841214
71857,527,4.5,1070318
67964,3104,3.0,9885162
61559,858,4.0,367976
46648,2005,3.0,1635780
41101,25886,3.5,14823832
70220,3484,3.0,4841025
41104,58998,4.0,9268317
58556,6773,4.0,463529
45626,348,4.0,19860665
31162,51931,4.0,19550285
56568,7560,4.0,15806459
25134,4321,4.0,11477042
32399,30707,4.0,1711364
8691,65,3.5,17241167
56348,4239,3.5,6936052
38011,1089,4.5,18169641
9737,3263,4.5,3103887
28998,590,5.0,5553155
45460,3978,3.5,6542729
325,7162,3.0,7069451
13443,2355,3.5,16926325
8840,2935,5.0,9151028
15115,1275,4.0,4500249
1920,3203,3.0,366083
7015,41716,4.5,11267933
61729,55247,5.0,14620778
70974,27735,3.0,11654289
64632,1784,3.5,3776920
28058,4027,5.0,14130331
72877,59784,3.5,19303490
73992,95201,5.0,5242080
638,6481,3.5,8263258
9034,16,4.0,9704736
76508,141,3.0,4878444
27355,5679,4.0,7334589
25800,1256,5.0,1006629
25303,587,4.0,333862
22984,2707,4.0,5828634
31174,4529,4.5,11334373
56974,1225,4.0,3990941
58611,2976,4.5,3729966
34101,33166,4.5,3216461
86804,4878,5.0,12268115
79514,3623,4.0,7656468
61812,1474,5.0,6637944
66944,112,3.0,18415811
12215,1340,4.0,11825017
34123,1673,5.0,18551996
80618,103,3.0,10528529
62835,276,3.0,10116275
11119,72998,4.5,15353215
29831,5445,3.0,7461147
76944,88140,4.5,14996364
6851,5349,5.0,12167294
22230,1228,3.5,18386966
75107,1641,3.5,8985015
1054,3897,3.5,8776067
28497,5669,3.5,5351280
22627,62849,3.0,12287405
77854,1220,5.0,17687249
13783,2407,3.5,5528134
33973,8945,3.5,7890066
33932,480,3.5,7977457
24785,1012,5.0,845260
2583,33615,5.0,4615146
44296,914,5.0,4964924
76609,6357,3.5,6096023
20102,1100,3.0,3422266
45340,4321,4.0,10448372
15589,54999,3.0,3235947
82518,1303,3.0,14150174
35392,5348,3.5,378228
75218,4027,4.5,4654635
72885,6539,3.0,4090514
78953,2395,5.0,8375475
49310,1196,4.0,4957690
84864,2395,5.0,9041919
21821,3114,4.0,15298008
17123,8533,4.5,15018600
52629,1215,3.5,10097218
24129,3979,3.5,5783931
20513,42418,5.0,1646460
71621,32587,4.0,16912411
36357,54881,5.0,5566016
58757,6365,3.5,742383
83189,2683,3.5,7537572
30117,4745,3.5,5750174
17429,1303,3.5,5903094
13243,1920,3.5,7103546
16660,2067,5.0,4322575
25150,4270,3.0,16387779
50317,1245,4.0,15269682
53802,237,3.5,14874253
20131,532,4.0,213638
6115,3980,4.0,19495240
58428,5236,5.0,3872831
48891,2759,4.0,14226866
15230,1927,4.0,15413887
62998,5785,3.0,6641158
87006,3623,3.0,16025195
24306,2950,3.0,532649
42498,4128,4.0,16266918
82427,1701,4.5,495588
32550,886,4.0,7268415
38031,1682,5.0,19295828
24314,2109,4.0,13575015
35623,1299,3.0,5855711
25506,1370,3.5,8727344
17412,1411,4.5,4526021
20938,353,3.5,6236299
39015,47,4.0,3808783
12291,923,5.0,3872831
23877,6002,5.0,14298183
21818,5621,3.0,5793432
1081,762,3.5,6048997
6166,2340,3.5,413753
15657,46105,3.0,12210677
70011,3448,3.0,13468925
15803,32,3.0,4052203
51450,1270,3.0,2543106
62021,6296,4.0,11141016
19060,6650,4.0,15433211
66010,1921,4.0,2264448
12855,4370,4.0,8177136
41943,842,3.0,2216832
57526,969,5.0,17813505
34682,3267,4.0,12945436
22982,1256,5.0,9249492
86339,2329,4.0,3224194
2921,2083,5.0,10910099
65401,1734,4.0,16918572
14371,150,5.0,18663498
32932,1036,4.0,1266355
14351,7708,4.0,5143652
33618,1635,3.5,13124879
2981,4979,4.0,4469565
49851,34405,4.5,7184187
75988,3967,4.0,14888666
65856,37384,3.5,7774383
479,33834,3.0,13396983
11565,2858,3.5,16983602
12199,1175,4.5,8475118
78428,1794,3.5,8385691
72951,36535,4.5,6386630
30225,71156,4.0,1481787
80171,2571,4.0,19918728
28294,7153,5.0,19303490
31859,5313,4.0,240345
21088,923,4.0,10107006
51215,5254,5.0,10655088
79316,965,4.0,1501076
54954,260,4.0,3412836
41544,6722,3.0,15759539
25815,41285,4.0,16940148
20213,7438,4.0,18182018
30552,54995,5.0,10902795
42084,2054,3.0,3346003
72702,1282,4.5,5692932
44628,2385,3.0,2875595
76188,8796,3.5,1128472
42973,33679,4.5,14988702
10193,1244,5.0,15249642
48970,5989,4.5,6688274
49384,1996,3.0,10068267
64206,1393,3.0,5382714
26417,3120,5.0,12784567
82162,34162,4.0,13811897
11218,36401,3.0,8015284
31127,596,3.5,16289708
68220,4080,3.0,11976330
45992,1962,4.5,3608318
75949,2384,4.0,12081671
1843,45517,3.0,7949826
58926,1967,3.5,14052174
29014,1222,3.0,185032
62442,2565,4.0,10494344
5080,54,3.0,12810304
56700,2571,5.0,14760696
45303,5486,3.5,10107988
7862,62376,4.0,9819150
7578,1617,4.5,1869644
49816,21,3.0,16866670
70388,2580,4.0,14019167
69850,2581,3.0,16287028
71149,349,3.0,19292881
12669,1213,5.0,5893629
60401,1258,4.5,15962594
45654,2641,3.0,6114168
30250,1021,3.5,8969494
86340,2425,5.0,11413549
57308,36,4.0,7677848
64705,8961,3.0,19062750
45059,49272,3.5,13448099
6762,2151,3.0,18018952
15002,1860,4.0,13616505
64955,1678,4.0,15563593
70853,89,4.0,13758745
57886,900,3.5,5201735
48875,2263,4.0,11344000
1370,5952,5.0,10834032
84020,3994,3.5,18148190
52257,1909,3.0,17145257
85710,102792,3.0,15789634
33530,2083,4.0,914647
80049,78620,4.5,14821797
84639,1084,5.0,1726617
13123,70183,3.5,18030276
25350,2752,3.5,12746971
77084,208,4.0,5477284
36187,3253,4.0,330915
87396,367,3.0,11500940
32512,1259,4.0,11700065
476,171,4.0,7534197
14961,2174,4.0,3478455
38177,1517,3.5,4611805
73922,1210,5.0,5508220
1035,2947,4.5,9091892
79382,32017,4.0,632917
80642,3521,3.5,7767436
33455,18,3.5,3156343
34800,2311,5.0,19559912
7376,3246,4.5,984071
15209,54510,4.0,16684637
9508,110,3.5,19983490
37718,2378,3.0,3217247
49187,3552,4.5,16590138
72417,1214,4.0,17823202
30181,5444,4.5,10740943
13546,1407,4.5,2981328
82700,7451,3.5,12989515
65578,266,4.0,3539127
77600,98961,4.0,3103262
69306,3702,3.0,12528432
84294,36,5.0,15293258
29549,2006,4.5,6368716
58852,6711,4.0,19904582
78199,5902,4.0,19782114
35556,51255,5.0,4709127
73233,5956,4.0,13272102
69490,296,5.0,6459125
39671,165,3.0,8207659
45296,2193,3.5,19253785
19745,1963,4.0,14243888
73829,2133,3.0,1449174
23279,2792,4.5,683534
28459,70,3.5,6961431
78775,55071,4.0,11817158
66604,1061,4.0,8990445
65219,4467,4.0,12623823
54595,1278,4.0,9856120
74078,946,4.0,222789
19039,608,5.0,14220972
60100,1060,5.0,11537286
29551,6970,4.0,14965162
9080,3100,4.0,11434213
8558,3793,5.0,16785495
72987,2687,4.0,17568387
11083,1344,3.5,6096809
50139,3365,4.5,964032
24842,4506,3.5,4439470
22625,2797,3.5,4701107
67470,4034,3.0,8723611
42700,748,3.0,13030183
8444,33794,4.0,4500088
82966,5872,3.0,2638784
59474,3285,4.0,17606501
5534,8529,3.5,10988363
12729,79132,4.5,6072054
25187,1224,5.0,11157877
47119,1247,4.0,14679074
82684,637,3.5,4320449
55604,908,5.0,1273659
13144,4025,4.0,19931105
51500,446,5.0,6407722
57351,586,3.5,12573689
39505,1374,5.0,16974066
51913,8464,3.5,15237819
3168,587,5.0,17860959
54838,6863,3.0,14464982
62470,5010,4.5,10640872
53160,3698,3.0,3574491
2194,3522,3.0,10772932
57283,5989,3.5,1842925
33505,186,5.0,7203315
31970,1242,4.0,18353371
32721,3264,4.5,9836992
43276,8368,4.5,13900699
14626,608,3.0,12619108
